threads,mb,enc_seq,enc_par,enc_speedup,dec_seq,dec_par,dec_speedup,cbc_par,cbc_speedup
1,0.500,11.757,13.340,0.881,135.340,135.574,0.998,137.891,0.985
1,1.000,21.258,22.042,0.964,271.905,267.475,1.017,268.116,0.994
1,2.000,41.611,40.650,1.024,546.364,543.868,1.005,548.813,1.003
1,4.000,84.223,80.919,1.041,1084.450,1086.409,0.998,1099.159,0.990
1,8.000,165.929,163.734,1.013,2185.592,2201.044,0.993,2157.894,1.016
1,16.000,325.269,322.646,1.008,4349.400,4393.227,0.990,4386.906,0.999
2,0.500,11.956,8.068,1.482,145.454,71.633,2.031,80.044,1.783
2,1.000,23.201,16.993,1.365,281.575,139.056,2.025,136.891,2.022
2,2.000,44.615,20.744,2.151,559.032,284.939,1.962,292.982,1.880
2,4.000,85.173,43.027,1.980,1099.468,541.662,2.030,537.827,2.044
2,8.000,162.289,83.059,1.954,2174.960,1095.580,1.985,1115.326,1.943
2,16.000,332.173,162.084,2.049,4323.939,2184.251,1.980,2162.898,2.024
4,0.500,10.226,7.170,1.426,135.313,34.928,3.874,35.114,3.876
4,1.000,20.650,8.481,2.435,270.554,76.110,3.555,68.349,4.044
4,2.000,41.301,10.647,3.879,546.831,138.754,3.941,138.097,3.892
4,4.000,82.177,21.380,3.844,1080.101,276.386,3.908,277.517,4.023
4,8.000,171.335,42.234,4.057,2165.124,570.488,3.795,553.502,3.929
4,16.000,334.573,86.700,3.859,4330.376,1122.757,3.857,1132.121,3.817
